State,2020
Alabama,934
Alaska,64
Arizona,1054
Arkansas,638
California,3847
Colorado,622
Connecticut,295
Delaware,116
District of Columbia,36
Florida,3331
Georgia,1664
Hawaii,85
Idaho,214
Illinois,1194
Indiana,897
Iowa,337
Kansas,426
Kentucky,780
Louisiana,828
Maine,164
Maryland,567
Massachusetts,343
Michigan,1084
Minnesota,394
Mississippi,752
Missouri,987
Montana,213
Nebraska,233
Nevada,317
New Hampshire,104
New Jersey,584
New Mexico,398
New York,1046
North Carolina,1538
North Dakota,100
Ohio,1230
Oklahoma,652
Oregon,508
Pennsylvania,1129
Rhode Island,67
South Carolina,1064
South Dakota,141
Tennessee,1217
Texas,3874
Utah,276
Vermont,62
Virginia,850
Washington,560
West Virginia,267
Wisconsin,614
Wyoming,127
USA,38824
